FL_NAME_CAREER,FL_NAME_ABBREVIATED,FL_NAME_SEMESTER,Promedio,Alumnos
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.4,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.59,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.68,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.88,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.67,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.21,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,SEGUNDO,8.66,85
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.51,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.49,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,9.16,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,9.22,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.2,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.64,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.28,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,QUINTO,8.94,69
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,OCTAVO,9.05,55
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,OCTAVO,8.49,55
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,OCTAVO,8.85,55
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,OCTAVO,8.73,55
INGENIERIA EN GESTION DE PROYECTOS,Ene-Abr 2017,OCTAVO,8.13,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.69,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.47,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.62,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.26,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.53,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.32,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,9.27,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.56,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,TERCERO,8.56,85
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,SEXTO,10,64
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,8.29,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,8.42,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,8.49,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,8.33,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,8.18,55
INGENIERIA EN GESTION DE PROYECTOS,May-Ago 2017,NOVENO,9.62,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,7.96,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.65,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.13,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,7.99,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.58,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.99,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.14,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,CUARTO,8.86,85
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.73,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.27,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.52,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.4,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.62,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,SEPTIMO,8.4,63
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,9.76,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,8.42,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,8.42,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,9.09,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,8.53,55
INGENIERIA EN GESTION DE PROYECTOS,Sep-Dic 2017,DECIMO,8.58,55
